From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
2QDJ	P06400	reviewed	RB_HUMAN	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1	Homo sapiens (Human)	928
3G0M	Q8ZPQ1	reviewed	SUFE_SALTY	Cysteine desulfuration protein SufE	sufE STM1374	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	138
6OU0	Q99972	reviewed	MYOC_HUMAN	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	MYOC GLC1A TIGR	Homo sapiens (Human)	504
5C17	Q7DJN2	unreviewed	Q7DJN2_PRIMG	MerB2	merB2	Priestia megaterium (Bacillus megaterium)	209
5A1I	P31153	reviewed	METK2_HUMAN	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	Homo sapiens (Human)	395
4X2P	P11444	reviewed	MANR_PSEPU	Mandelate racemase (MR) (EC 5.1.2.2)	mdlA	Pseudomonas putida (Arthrobacter siderocapsulatus)	359
4YJI	C3UWD1	unreviewed	C3UWD1_UNCXX	Aryl acylamidase (EC 3.5.1.13)		bacterium CSBL00001	495
5XG2	F8AFS8	unreviewed	F8AFS8_PYRYC	Chromosome partition protein Smc	smc PYCH_01200	Pyrococcus yayanosii (strain CH1 / JCM 16557)	1177
5N7Z	Q06994	reviewed	RFAB_SALTY	Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-) (UDP-D-galactose--(Glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase)	rfaB waaB STM3719	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	359
3IU0	P81453	reviewed	TGAS_STRMB	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (MTG) (Transglutaminase) (TGase)		Streptomyces mobaraensis (Streptoverticillium mobaraense)	407
1CC8	P38636	reviewed	ATX1_YEAST	Copper chaperone ATX1 (Antioxidant protein 1) (Metal homeostasis protein ATX1)	ATX1 YNL259C N0840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	73
3K1H	O25709	unreviewed	O25709_HELPY	Uncharacterized protein	HP_1076	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	171
6HJ6	A0A023J4Z7	unreviewed	A0A023J4Z7_9VIRU	Pre-glycoprotein polyprotein GP complex (Pre-GP-C) [Cleaved into: Stable signal peptide (SSP); Glycoprotein G1 (GP1); Glycoprotein G2 (GP2)]	GPC	Mammarenavirus loeiense	492
2ZQ5	P71872	unreviewed	P71872_MYCTO	Sulfotransferase	MT3632	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	384
1BU8	P54318	reviewed	LIPR2_RAT	Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Secretory glycoprotein GP-3) (Triacylglycerol lipase) (EC 3.1.1.3)	Pnliprp2 Plrp2	Rattus norvegicus (Rat)	468
4W7G	G0S0R6	unreviewed	G0S0R6_CHATD	Putative motor protein	CTHT_0010980	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	547
1K6K	P0ABH9	reviewed	CLPA_ECOLI	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA lopD b0882 JW0866	Escherichia coli (strain K12)	758
4LYA	A4IKE7	reviewed	ECCC_GEOTN	ESX secretion system protein EccC (Type VII secretion system protein EccC) (T7SS protein EccC)	eccC essC GTNG_0419	Geobacillus thermodenitrificans (strain NG80-2)	1479
5EK8	B7K2Q5	unreviewed	B7K2Q5_RIPO1	Lipoxygenase domain-containing protein	PCC8801_2437	Rippkaea orientalis (strain PCC 8801 / RF-1) (Cyanothece sp. (strain PCC 8801))	668
3NFT	Q63K37	reviewed	BIPD_BURPS	Translocator protein BipD	bipD BPSS1529	Burkholderia pseudomallei (strain K96243)	310
1YE8	O67322	reviewed	NTPTH_AQUAE	Nucleoside-triphosphatase THEP1 (NTPase THEP1) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)	aq_1292	Aquifex aeolicus (strain VF5)	178
5XI8	P66948	reviewed	BEPA_ECOLI	Beta-barrel assembly-enhancing protease (EC 3.4.-.-)	bepA yfgC b2494 JW2479	Escherichia coli (strain K12)	487
2Q8K	Q9UQ80	reviewed	PA2G4_HUMAN	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)	394
6I50	A0A2H1VTZ0	unreviewed	A0A2H1VTZ0_SPOFR	SFRICE_029225	SFRICE_029225	Spodoptera frugiperda (Fall armyworm)	206
3C6A	Q9T1C3	unreviewed	Q9T1C3_BPRB4	Terminase, large subunit (DNA-packaging protein) [Includes: ATPase (EC 3.6.4.-); Endonuclease (EC 3.1.21.-)]	17	Escherichia phage RB49 (Bacteriophage RB49)	607
3FMY	Q46864	reviewed	MQSA_ECOLI	Antitoxin MqsA	mqsA ygiT b3021 JW2989	Escherichia coli (strain K12)	131
3BKH	Q8SD18	unreviewed	Q8SD18_BPDPK	PHIKZ144		Pseudomonas phage phiKZ	260
6QU7	Q02127	reviewed	PYRD_HUMAN	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	DHODH	Homo sapiens (Human)	395
3RT2	Q8H1R0	reviewed	PYL10_ARATH	Abscisic acid receptor PYL10 (ABI1-binding protein 8) (PYR1-like protein 10) (Regulatory components of ABA receptor 4)	PYL10 RCAR4 At4g27920 T13J8.30	Arabidopsis thaliana (Mouse-ear cress)	183
6IHG	A0A051TYQ1	unreviewed	A0A051TYQ1_9MYCO	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon K875_02975	Mycobacterium [tuberculosis] TKK-01-0051	773
1G3P	P69168	reviewed	G3P_BPM13	Attachment protein G3P (Gene 3 protein) (G3P) (Minor coat protein)	III	Enterobacteria phage M13 (Bacteriophage M13)	424
1Y63	Q4Q7A6	unreviewed	Q4Q7A6_LEIMA	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	LMJF_30_1890	Leishmania major	180
1A5T	P28631	reviewed	HOLB_ECOLI	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB b1099 JW1085	Escherichia coli (strain K12)	334
4IIL	Q56328	reviewed	RFUA_TREPA	ABC transporter riboflavin-binding protein RfuA (Membrane lipoprotein TpN38(b))	rfuA tpn38 TP_0298	Treponema pallidum (strain Nichols)	343
5H4S	A0A090BWT0	unreviewed	A0A090BWT0_TOXPI	L-rhamnose-binding lectin	SUL-1	Toxopneustes pileolus (Flower urchin) (Echinus pileolus)	308
2O7A	P00720	reviewed	ENLYS_BPT4	Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)	E	Enterobacteria phage T4 (Bacteriophage T4)	164
4HWM	A6TB72	unreviewed	A6TB72_KLEP7	Lipoprotein	yedD KPN_02420	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	144
5ZGX	C7C422	reviewed	BLAN1_KLEPN	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	blaNDM-1	Klebsiella pneumoniae	270
6OH6	A0A158RFK9	unreviewed	A0A158RFK9_STRSQ	Terpene synthase (EC 4.2.3.-)		Streptomyces sp	342
3D1C	Q99R54	reviewed	FMO_STAAM	Putative flavoprotein monooxygenase (EC 1.-.-.-) (Baeyer-Villiger flavin-containing monooxygenase) (BVFMO) (Baeyer-Villiger monooxygenase) (BVMO) (Flavin-containing monooxygenase) (FMO) (SAFMO)	SAV2584	Staphylococcus aureus (strain Mu50 / ATCC 700699)	368
3D1C	A0A0H3JN45	unreviewed	A0A0H3JN45_STAAN	NAD(P)-binding domain-containing protein	SA2370	Staphylococcus aureus (strain N315)	368
4MTM	I2GUG0	unreviewed	I2GUG0_9CAUD	Putative tail fiber protein		Acinetobacter phage AP22	271
5FAF	P06396	reviewed	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782
2PBE	P17585	reviewed	AADK_BACSU	Aminoglycoside 6-adenylyltransferase (EC 2.7.7.-) (6-O-adenyl-transferase) (AAD(6)) (ANT(6)) (Aminoglycoside inactivating enzyme) (Sm inactivating enzyme) (Streptomycin 6-adenylyltransferase)	aadK BSU26790 HIR78_15755	Bacillus subtilis (strain 168)	284
1RTQ	Q01693	reviewed	AMPX_VIBPR	Bacterial leucyl aminopeptidase (EC 3.4.11.10)		Vibrio proteolyticus (Aeromonas proteolytica)	504
1GS9	P02649	reviewed	APOE_HUMAN	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
5UM2	Q8PNN7	unreviewed	Q8PNN7_XANAC	ABC transporter sulfate binding protein	sbp XAC1017	Xanthomonas axonopodis pv. citri (strain 306)	338
4A7K	P84193	reviewed	AUD_PHACH	Aldos-2-ulose dehydratase (AUDH) (EC 4.2.1.110) (Aldos-2-ulose dehydratase/isomerase) (D-arabino-hex-2-ulose dehydratase) (Pyranosone dehydratase)		Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum)	900
4CVR	P0ABD3	reviewed	BFR_ECOLI	Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557)	bfr b3336 JW3298	Escherichia coli (strain K12)	158
1G12	P81054	reviewed	PLMP_GRIFR	Peptidyl-Lys metalloendopeptidase (MEP) (EC 3.4.24.20) (GfMEP)	MEP	Grifola frondosa (Maitake) (Polyporus frondosus)	348
5YSI	Q5ZTK4	reviewed	SDEA_LEGPH	Ubiquitinating/deubiquitinating enzyme SdeA (Effector protein SdeA) [Includes: Deubiquitinase (DUB) (EC 3.4.22.-) (Deneddylase) (Deubiquitinating enzyme); Ubiquitin transferase (EC 2.3.2.-); Mono-ADP-ribosyltransferase (mART) (EC 2.4.2.31)]	sdeA lpg2157	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	1499
4R12	F0ZBA6	reviewed	NICA_DICPU	Nicastrin (DpNCT)	ncstn DICPUDRAFT_96800	Dictyostelium purpureum (Slime mold)	643
2DHO	Q13907	reviewed	IDI1_HUMAN	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	Homo sapiens (Human)	227
3NBX	P31473	reviewed	RAVA_ECOLI	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)	ravA yieN b3746 JW3725	Escherichia coli (strain K12)	498
1JM1	Q53766	unreviewed	Q53766_9CREN	Rieske (2Fe-2S) protein (Rieske protein)	soxF ATY89_06800 ATZ20_09820	Sulfolobus acidocaldarius	250
4PAU	Q2FVM5	unreviewed	Q2FVM5_STAA8	GAF domain-containing protein	SAOUHSC_02677	Staphylococcus aureus (strain NCTC 8325 / PS 47)	150
1U7L	P31412	reviewed	VATC_YEAST	V-type proton ATPase subunit C (V-ATPase subunit C) (V-ATPase 42 kDa subunit) (Vacuolar proton pump subunit C)	VMA5 VAT3 VATC YKL080W YKL410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	392
1U53	Q7Z1H1	unreviewed	Q7Z1H1_NECAM	Ancylostoma secreted protein 2 (Secreted protein ASP-2)	ASP2	Necator americanus (Human hookworm)	210
5D18	O07229	unreviewed	O07229_MYCTU	Probable transcriptional regulatory protein (Probably TetR/AcrR-family)	Rv0302	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	210
4WEE	P21707	reviewed	SYT1_RAT	Synaptotagmin-1 (Synaptotagmin I) (SytI) (p65)	Syt1	Rattus norvegicus (Rat)	421
5YVN	P78417	reviewed	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241
3KSN	P61316	reviewed	LOLA_ECOLI	Outer-membrane lipoprotein carrier protein (P20)	lolA lplA yzzV b0891 JW0874	Escherichia coli (strain K12)	203
2GUF	P06129	reviewed	BTUB_ECOLI	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	btuB bfe cer dcrC b3966 JW3938	Escherichia coli (strain K12)	614
3PF2	Q8E0S9	unreviewed	Q8E0S9_STRA5	Cell wall surface anchor family protein	SAG0645	Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R)	554
5UQ6	P09889	reviewed	PPA5_PIG	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase) (Uteroferrin) (UF)	ACP5	Sus scrofa (Pig)	340
6O87	Q6VAB4	reviewed	U76G1_STERE	UDP-glycosyltransferase 76G1 (EC 2.4.1.-)	UGT76G1	Stevia rebaudiana (Stevia) (Eupatorium rebaudianum)	458
3FVZ	P14925	reviewed	AMD_RAT	Peptidylglycine alpha-amidating monooxygenase (PAM) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)]	Pam	Rattus norvegicus (Rat)	976
2G7O	P10026	reviewed	TRAM1_ECOLI	Relaxosome protein TraM	traM ECOK12F071	Escherichia coli (strain K12)	127
5M17	D6D1V7	unreviewed	D6D1V7_9BACE	Glycosyl hydrolase family 71	BXY_34140	Bacteroides xylanisolvens XB1A	380
3OCU	P26093	reviewed	HEL_HAEIN	Lipoprotein E (Outer membrane protein P4) (OMP P4)	hel ompP4 HI_0693	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	274
4XPX	Q60AX2	reviewed	HEMTB_METCA	Bacteriohemerythrin (McHr)	MCA0715	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	131
1K4I	Q8TG90	reviewed	RIB3_MAGO7	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DS) (EC 4.1.99.12)	RIB3 MGG_01049	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)	233
2P4O	B2J846	unreviewed	B2J846_NOSP7	Gluconolactonase	Npun_F0524	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	305
1UJ8	P0C0L9	reviewed	ISCX_ECOLI	Protein IscX	iscX yfhJ b2524 JW2508	Escherichia coli (strain K12)	66
