PDB_ID,THSA,RHSA,LHP
5a7d-L,5566.0,0.31802,0.0
5aot-A,836.0,0.14359,389.0
5d9g-A,3084.0,0.24498,957.0
5fhy-A,3369.0,0.26285,0.0
5g5n-A,3755.0,0.28612,0.0
5hkq-A,1943.0,0.2294,801.0
5hkq-I,1978.0,0.26209,1147.0
5j4a-A,1700.0,0.24713,0.0
5j4a-B,1488.0,0.26046,568.0
5j5v-B,1596.0,0.23814,0.0
5j5v-C,1580.0,0.21668,564.0
5jzr-A,4494.0,0.39105,2083.0
5kkp-A,6189.0,0.24759,0.0
5lev-A,9650.0,0.54326,0.0
5mqp-A,4776.0,0.20292,0.0
5nv4-A,13601.0,0.21941,0.0
5sy1-A,19485.0,0.5018,0.0
5t87-E,814.0,0.17945,489.0
5unb-A,3184.0,0.21772,457.0
5uvn-A,10164.0,0.42111,0.0
5uw2-A,2805.0,0.37221,0.0
