PDB_ID,THSA,RHSA,LHP
12as-A,3790.0,0.25782,0.0
16vp-A,4471.0,0.30771,1053.0
1a12-C,3414.0,0.21026,0.0
1a1x-A,1934.0,0.27636,592.0
1a2x-B,797.0,0.23035,0.0
1a41-A,2781.0,0.23576,1156.0
1a5t-A,4143.0,0.25897,696.0
1a62-A,1729.0,0.22634,949.0
1a73-A,3740.0,0.35951,1353.0
1a7j-A,3798.0,0.26331,2107.0
1a8l-A,2364.0,0.2179,1669.0
1a92-B,1620.0,0.31765,0.0
1a9n-A,2062.0,0.2468,510.0
1a9n-D,1419.0,0.24198,954.0
1a9x-F,3689.0,0.23964,0.0
1ae9-A,1686.0,0.19478,307.0
1ah7-A,2576.0,0.23733,608.0
1ahs-A,2385.0,0.33878,1168.0
1ais-B,2292.0,0.21872,1080.0
1alu-A,1860.0,0.20582,569.0
1am7-C,1702.0,0.20361,0.0
1amt-C,1234.0,0.65673,0.0
1aoc-B,2757.0,0.27706,623.0
1aol-A,2631.0,0.24651,721.0
1aqz-B,1594.0,0.20139,0.0
1atg-A,2672.0,0.25344,1384.0
1atz-B,1825.0,0.21838,328.0
1ax8-A,2030.0,0.28324,815.0
1ayo-B,1888.0,0.25424,0.0
1azo-A,3549.0,0.28919,0.0
1b35-A,5604.0,0.33871,0.0
1b35-B,4875.0,0.29562,1080.0
1b35-C,6619.0,0.33325,2268.0
1b35-D,2823.0,0.48273,1768.0
1b3u-A,6462.0,0.24001,0.0
1b4f-G,1550.0,0.29671,525.0
1b5e-A,3282.0,0.26378,643.0
1b5q-A,4215.0,0.22109,816.0
1b63-A,4121.0,0.23982,676.0
1b77-B,2728.0,0.23035,0.0
1b9w-A,1430.0,0.22219,763.0
1bb1-A,1955.0,0.54306,1955.0
1bco-A,3892.0,0.28101,1524.0
1bcs-B,4183.0,0.39462,0.0
1bdf-C,3816.0,0.28332,0.0
1bea-A,2087.0,0.32292,1335.0
1bf2-A,7146.0,0.29996,939.0
1bg6-A,3679.0,0.25318,0.0
1bgf-A,2057.0,0.25505,422.0
1bhe-A,2251.0,0.14245,425.0
1bja-B,1428.0,0.24952,781.0
1bkr-A,1426.0,0.22996,1105.0
1bl0-A,1596.0,0.23097,407.0
1bqu-B,2610.0,0.2093,934.0
1brt-A,2723.0,0.24435,0.0
1bte-A,1787.0,0.29739,0.0
1btk-B,2572.0,0.24232,1620.0
1bvy-F,2039.0,0.26643,0.0
1bx7-A,1230.0,0.28894,1230.0
1bxy-B,1137.0,0.26528,0.0
1byr-A,1364.0,0.19138,1004.0
1c0a-A,7437.0,0.25784,3084.0
1c0p-A,3555.0,0.21682,772.0
1c1k-A,3349.0,0.27957,1099.0
1c1y-B,1050.0,0.20325,391.0
1c3c-A,5204.0,0.24998,0.0
1c4o-A,6211.0,0.26158,0.0
1c5e-B,1322.0,0.23705,1264.0
1c8n-A,3445.0,0.38049,0.0
1c8u-A,4046.0,0.27251,2592.0
1c9k-B,2830.0,0.31027,1736.0
1cb8-A,5676.0,0.21856,1113.0
1cc8-A,1062.0,0.23732,337.0
1ccw-D,4320.0,0.22965,624.0
1cg2-D,4672.0,0.28847,735.0
1ci4-A,1313.0,0.2561,0.0
1cjw-A,2194.0,0.25026,1241.0
1ckm-B,4092.0,0.25933,999.0
1cl8-A,3715.0,0.26782,0.0
1cn3-F,1186.0,0.40108,897.0
