PDB_ID,THSA,RHSA,LHP
154l-A,1327.0,0.15967,300.0
1a45-A,1611.0,0.18401,0.0
1aaz-B,1357.0,0.24727,729.0
1acx-A,1503.0,0.26907,0.0
1add-A,2485.0,0.18231,711.0
1ade-B,4695.0,0.24499,0.0
1ahb-A,2484.0,0.2219,789.0
1alk-B,3462.0,0.1924,420.0
1amp-A,2076.0,0.19696,446.0
1aor-B,4159.0,0.2095,709.0
1aor-B,4159.0,0.2095,709.0
1aoz-B,5231.0,0.23216,1529.0
1aoz-B,5231.0,0.23216,1529.0
1aoz-B,5231.0,0.23216,1529.0
1asw-A,2250.0,0.2585,866.0
1atp-I,754.0,0.30826,497.0
1avh-B,3042.0,0.20029,326.0
1avh-B,3042.0,0.20029,326.0
1aya-B,1285.0,0.23066,426.0
1azu-A,1328.0,0.21197,0.0
1bam-A,1759.0,0.1749,0.0
1bbp-A,2667.0,0.26874,0.0
1bcx-A,1896.0,0.23783,758.0
1bdo-A,1408.0,0.2802,1202.0
1bds-A,1167.0,0.39761,1138.0
1bet-A,2471.0,0.33947,0.0
1bfg-A,1209.0,0.1843,269.0
1bks-A,3086.0,0.26642,0.0
1bks-B,3793.0,0.24827,957.0
1bmv-1,3479.0,0.32088,1851.0
1bmv-2,6085.0,0.32439,0.0
1bnc-B,4735.0,0.25154,0.0
1bnc-B,4735.0,0.25154,0.0
1bnc-B,4735.0,0.25154,0.0
1bph-A,1133.0,0.56228,1133.0
1brs-E,1242.0,0.25172,0.0
1bsd-B,1364.0,0.23963,0.0
1cbg-A,4477.0,0.22283,0.0
1cbh-A,1019.0,0.41255,740.0
1cc5-A,1394.0,0.3045,678.0
1cdl-G,785.0,0.35013,467.0
1cdt-A,1671.0,0.4047,0.0
1cei-A,1404.0,0.25504,402.0
1cel-A,2826.0,0.17383,458.0
1cem-A,2900.0,0.22164,442.0
1ceo-A,2889.0,0.19378,0.0
1cew-I,2013.0,0.28257,759.0
1cfb-A,3286.0,0.29426,1227.0
1cfr-A,3692.0,0.26114,586.0
1cgu-A,5325.0,0.23263,1440.0
1cgu-A,5325.0,0.23263,1440.0
1cgu-A,5325.0,0.23263,1440.0
1chd-A,2400.0,0.27131,1689.0
1chk-B,2133.0,0.19851,344.0
1chm-B,4350.0,0.24802,1178.0
1cks-C,2547.0,0.31464,1710.0
1clc-A,4448.0,0.23112,687.0
1clc-A,4448.0,0.23112,687.0
1clc-A,4448.0,0.23112,687.0
1cns-B,2832.0,0.2715,589.0
1coi-A,1055.0,0.32825,0.0
1col-B,2067.0,0.23518,959.0
1com-C,1817.0,0.25303,1040.0
1cpc-L,3459.0,0.35535,0.0
1cpn-A,2437.0,0.28021,0.0
1cqa-A,1705.0,0.2641,0.0
1crn-A,1264.0,0.41993,882.0
1cse-I,1304.0,0.30944,1024.0
1csm-B,2803.0,0.21387,0.0
1ctf-A,1030.0,0.24571,518.0
1ctm-A,3161.0,0.2281,689.0
1ctn-A,5035.0,0.23937,985.0
1ctn-A,5035.0,0.23937,985.0
