protein_id,f_value,model,avg_confidence
A0A024R1R8,F1,model_v4,72.2203125
A0A024RBG1,F1,model_v4,83.98911602209947
A0A024RCN7,F1,model_v4,54.187466666666644
A0A075B6H5,F1,model_v4,85.97092307692309
A0A075B6H7,F1,model_v4,90.42103448275859
A0A075B6H8,F1,model_v4,91.09666666666668
A0A075B6H9,F1,model_v4,89.54932773109243
A0A075B6I0,F1,model_v4,89.30967213114754
A0A075B6I1,F1,model_v4,89.48325
A0A075B6I3,F1,model_v4,89.38837398373983
A0A075B6I4,F1,model_v4,87.93282051282053
A0A075B6I6,F1,model_v4,89.78788135593223
A0A075B6I7,F1,model_v4,89.56409523809525
A0A075B6I9,F1,model_v4,88.72282051282055
A0A075B6J1,F1,model_v4,91.10300813008129
A0A075B6J2,F1,model_v4,84.53754237288139
A0A075B6J6,F1,model_v4,88.69443478260868
A0A075B6J9,F1,model_v4,86.3979661016949
A0A075B6K0,F1,model_v4,89.06521739130436
A0A075B6K2,F1,model_v4,88.77643478260869
A0A075B6K4,F1,model_v4,87.98852173913045
A0A075B6K5,F1,model_v4,90.6439130434783
A0A075B6K6,F1,model_v4,87.71499999999997
A0A075B6L2,F1,model_v4,77.7264705882353
A0A075B6L6,F1,model_v4,86.8382608695652
A0A075B6N1,F1,model_v4,90.15157894736842
A0A075B6N2,F1,model_v4,92.60855855855856
A0A075B6N3,F1,model_v4,90.16495652173914
A0A075B6N4,F1,model_v4,89.75982456140352
A0A075B6P5,F1,model_v4,90.89150000000002
A0A075B6Q5,F1,model_v4,89.97279661016947
A0A075B6R0,F1,model_v4,86.64618644067798
A0A075B6R2,F1,model_v4,91.67341880341878
A0A075B6R9,F1,model_v4,87.0175
A0A075B6S0,F1,model_v4,77.13125000000001
A0A075B6S2,F1,model_v4,90.47633333333334
A0A075B6S4,F1,model_v4,89.94529914529916
A0A075B6S5,F1,model_v4,90.39777777777778
A0A075B6S6,F1,model_v4,90.46200000000002
A0A075B6S9,F1,model_v4,88.51153846153845
A0A075B6T6,F1,model_v4,93.59902654867255
A0A075B6T7,F1,model_v4,82.95757575757575
A0A075B6T8,F1,model_v4,91.92633928571426
A0A075B6U4,F1,model_v4,90.02044642857143
A0A075B6U6,F1,model_v4,89.95646017699111
A0A075B6V2,F1,model_v4,76.36111111111111
A0A075B6V5,F1,model_v4,91.88495575221238
A0A075B6W5,F1,model_v4,90.98462809917352
A0A075B6X5,F1,model_v4,91.39873873873877
A0A075B6Y3,F1,model_v4,86.38550000000002
A0A075B6Y9,F1,model_v4,85.406
A0A075B700,F1,model_v4,86.6561111111111
A0A075B706,F1,model_v4,86.881875
A0A075B734,F1,model_v4,81.5318731988473
A0A075B759,F1,model_v4,96.69658536585366
A0A075B767,F1,model_v4,95.9029268292683
A0A075B7B6,F1,model_v4,91.42794871794871
A0A075B7B8,F1,model_v4,81.46427350427352
A0A075B7D0,F1,model_v4,91.18837606837604
A0A075B7D4,F1,model_v4,91.10162393162396
A0A075B7D8,F1,model_v4,90.72126050420171
A0A075B7E8,F1,model_v4,90.49282051282051
A0A075B7F0,F1,model_v4,91.39689655172413
A0A075B7F1,F1,model_v4,91.40758620689653
A0A087WSX0,F1,model_v4,88.04991869918699
A0A087WSY4,F1,model_v4,91.27576271186445
A0A087WSY6,F1,model_v4,90.17582608695653
A0A087WSZ0,F1,model_v4,90.5436752136752
A0A087WSZ9,F1,model_v4,91.23062500000002
A0A087WT01,F1,model_v4,90.74183486238535
A0A087WT02,F1,model_v4,92.07062499999999
A0A087WT03,F1,model_v4,89.9253211009174
A0A087WTH1,F1,model_v4,69.29527777777777
A0A087WTH5,F1,model_v4,68.40674242424244
A0A087WUL8,F1,model_v4,39.904857142857175
A0A087WUL8,F10,model_v4,35.419585714285745
A0A087WUL8,F11,model_v4,34.616407142857156
A0A087WUL8,F12,model_v4,34.13077142857145
A0A087WUL8,F13,model_v4,35.246521428571455
A0A087WUL8,F14,model_v4,35.780997586484325
A0A087WUL8,F2,model_v4,34.49830714285712
A0A087WUL8,F3,model_v4,37.05941428571426
A0A087WUL8,F4,model_v4,35.7185214285714
A0A087WUL8,F5,model_v4,33.9233857142857
A0A087WUL8,F6,model_v4,34.35230714285716
A0A087WUL8,F7,model_v4,35.49282142857147
A0A087WUL8,F8,model_v4,36.57320714285711
A0A087WUL8,F9,model_v4,35.7153428571429
A0A087WUM9,F1,model_v4,59.057378640776705
A0A087WUV0,F1,model_v4,65.58011494252875
A0A087WV53,F1,model_v4,85.37903361344532
A0A087WV62,F1,model_v4,90.27417391304346
A0A087WVF3,F1,model_v4,58.88233151183969
A0A087WW49,F1,model_v4,91.53230769230765
A0A087WW87,F1,model_v4,90.31809917355372
A0A087WWA1,F1,model_v4,60.33778947368424
A0A087WX78,F1,model_v4,64.41235142118863
A0A087WXM9,F1,model_v4,53.69182305630028
A0A087WXS9,F1,model_v4,59.363315118397075
A0A087WYE8,F1,model_v4,91.08427350427354
A0A087WZ39,F1,model_v4,89.76684210526315
A0A087X0K7,F1,model_v4,87.6538596491228
A0A087X0M5,F1,model_v4,91.06286956521737
A0A087X179,F1,model_v4,59.645828779599256
