Uniprot_ID,PDB_ID,Species,Tax_ID,Type,Expression,Tissue_Expressed
P00963,12as-A,ESCHERICHIA COLI K12,83333.0,,,
P06492,16vp-A,HUMAN HERPESVIRUS 1,10298.0,,,
P18754,1a12-C,HOMO SAPIENS,9606.0,aggregator,58.5,bone marrow
P56278,1a1x-A,HOMO SAPIENS,9606.0,,5.3,testis
P02643,1a2x-B,ORYCTOLAGUS CUNICULUS,9986.0,,,
P68698,1a41-A,VACCINIA VIRUS,10245.0,,,
P28631,1a5t-A,ESCHERICHIA COLI K12,83333.0,,,
P03002,1a62-A,ESCHERICHIA COLI BL21(DE3),469008.0,,,
Q94702,1a73-A,PHYSARUM POLYCEPHALUM,5791.0,,,
P12033,1a7j-A,RHODOBACTER SPHAEROIDES,1063.0,,,
Q51760,1a8l-A,PYROCOCCUS FURIOSUS,2261.0,,,
P25989,1a92-B,HEPATITIS DELTA VIRUS,12475.0,,,
P09661,1a9n-A,HOMO SAPIENS,9606.0,soluble,68.1,bone marrow
P08579,1a9n-D,HOMO SAPIENS,9606.0,soluble,53.9,bone marrow
P00907,1a9x-F,ESCHERICHIA COLI,562.0,,,
P03700,1ae9-A,ENTEROBACTERIA PHAGE LAMBDA,10710.0,,,
P09598,1ah7-A,BACILLUS CEREUS,1396.0,,,
P36325,1ahs-A,AFRICAN HORSESICKNESS VIRUS,40050.0,,,
P61999,1ais-B,PYROCOCCUS WOESEI,2262.0,,,
P05231,1alu-A,HOMO SAPIENS,9606.0,,281.3,urinary bladder
P03706,1am7-C,ENTEROBACTERIA PHAGE LAMBDA,10710.0,,,
None,1amt-C,,,,,
P02681,1aoc-B,TACHYPLEUS TRIDENTATUS,6853.0,,,
P03390,1aol-A,FRIEND MURINE LEUKEMIA VIRUS,11795.0,,,
P67876,1aqz-B,ASPERGILLUS RESTRICTUS,5064.0,,,
Q7SIH2,1atg-A,AZOTOBACTER VINELANDII,354.0,,,
P04275,1atz-B,HOMO SAPIENS,9606.0,,151.9,adipose tissue
P41159,1ax8-A,HOMO SAPIENS,9606.0,,307.5,adipose tissue
P01023,1ayo-B,BOS TAURUS,9913.0,soluble,1678.3,lung
P06722,1azo-A,ESCHERICHIA COLI,83333.0,,,
P13418,1b35-A,CRICKET PARALYSIS VIRUS,12136.0,,,
P13418,1b35-B,CRICKET PARALYSIS VIRUS,12136.0,,,
P13418,1b35-C,CRICKET PARALYSIS VIRUS,12136.0,,,
P13418,1b35-D,CRICKET PARALYSIS VIRUS,12136.0,,,
P30153,1b3u-A,HOMO SAPIENS,9606.0,soluble,394.2,cerebral cortex
P29323,1b4f-G,HOMO SAPIENS,9606.0,,23.3,rectum
P08773,1b5e-A,ENTEROBACTERIA PHAGE T4,10665.0,,,
None,1b5q-A,,,,,
P23367,1b63-A,ESCHERICHIA COLI K12,83333.0,,,
O80164,1b77-B,ENTEROBACTERIA PHAGE RB69,12353.0,,,
Q25659,1b9w-A,PLASMODIUM CYNOMOLGI,5827.0,,,
None,1bb1-A,,,,,
P07636,1bco-A,ENTEROBACTERIA PHAGE MU,10677.0,,,
P08819,1bcs-B,TRITICUM AESTIVUM,4565.0,,,
P0A7Z4,1bdf-C,ESCHERICHIA COLI,562.0,,,
P01088,1bea-A,ZEA MAYS,4577.0,,,
