,id,LHP
0,Q8NGF9,8713
1,P62241,370
2,A0A1W2PNU3,1020
3,Q6ZRN7,1041
4,O60240,7609
5,B7ZBB8,1730
6,P37268,3820
7,A0A6Q8PGZ7,2679
8,Q99959,824
9,Q9NYW1,9489
10,A6NJG6,2909
11,Q6NX49,2338
12,Q9H3S7,2580
13,Q9UPZ3,2541
14,Q96T49,1733
15,Q9H1J7,1695
16,O75881,2925
17,Q9Y6W6,1918
18,Q99795,2249
19,P20700,1731
20,P56696,9159
21,Q8TC26,5628
22,P26371,4725
23,Q8WVB3,635
24,Q5BVD1,2813
25,Q9UBG0,2018
26,P17812,628
27,Q9ULJ8,1415
28,Q1HG44,5771
29,Q9N2K0,5398
30,Q96TA2,2054
31,Q9BXS9,10475
32,P0DTA3,2184
33,Q9NRG7,2492
34,Q9UNP4,2280
35,P68036,699
36,O95785,2888
37,Q96MM3,5581
38,Q9UBE8,1755
39,Q9ULH0,7329
40,Q8NGE5,7826
41,Q96S07,4861
42,P35325,394
43,Q9HAC7,4956
44,P35443,1526
45,Q92830,1210
46,Q01094,3130
47,P33032,9256
48,Q13490,1906
49,Q8TDC3,759
50,Q96HS1,1163
51,Q8IW50,890
52,A0A0G2JLQ3,1982
53,Q99965,2448
54,P78543,963
55,A0A1W2PRG0,1570
56,A0A0G2JNH3,8173
57,P28360,1226
58,A6NDH6,8455
59,P61006,956
60,P0DJJ0,3222
61,P10827,1702
62,Q96T75,1494
63,Q92824,1925
64,O75665,2087
65,A4D0T7,2955
66,Q8NGD1,7163
67,P12956,3225
68,P62269,925
69,Q9BXP5,1199
70,Q58FG0,2769
71,Q9HAB3,9707
72,Q9UNQ0,6923
73,Q8WV44,4148
74,O60268,784
75,Q9ULI4,2049
76,Q8TCD1,2951
77,Q8WX77,1855
78,Q5W111,895
79,A6ND36,1671
80,Q13309,1063
81,P51648,2864
82,A5LHX3,2136
83,Q76L83,2319
84,Q9BTK2,728
85,Q9Y3D3,1323
86,P14314,1711
87,Q92617,4669
88,Q5T4D3,10775
89,Q86X55,2013
90,Q8NI29,1456
91,Q9Y4B5,3032
92,Q5TAQ9,1406
93,Q16517,4148
94,A4D2B8,3501
95,Q96FQ6,1933
96,Q9C0B5,5360
97,Q9UKA9,1981
98,A6NHS1,804
99,P49761,1446
100,Q99742,4500
101,Q96M63,3320
102,Q12765,1164
103,Q96DH6,951
104,Q8IY63,1423
105,P10600,2209
106,Q14314,3964
107,Q96QS3,3672
108,Q5VU92,3055
109,Q9UPV0,1638
110,Q06710,820
111,Q9Y4C1,2477
112,Q9Y3E7,682
113,Q9HCU8,1192
114,P08729,1751
115,Q9NPQ8,925
116,P50542,2576
117,P51884,1797
118,Q9Y442,5675
119,P15036,2477
120,Q8NGI6,6279
121,Q59EK9,1882
122,Q5SZD1,892
123,A0A0B4J2D5,1627
124,P51674,8241
125,Q8IWL8,1573
126,Q8WV93,1269
127,Q8TAQ2,4132
128,Q15744,1708
129,Q8IW93,1485
130,P20933,1815
131,Q96JG6,2105
132,Q15022,2267
133,P48443,1248
134,Q9UKB5,5245
135,Q9UL18,970
136,A0A1B0GUV1,1057
137,O43300,2699
138,O15146,4164
139,Q9Y4A9,8188
140,Q8NBW4,10235
141,Q9UPT8,1496
142,Q9Y324,988
143,P05543,1408
144,Q6ZNQ3,3015
145,O43314,2273
146,Q9Y6X9,1855
147,Q9BZ19,1370
148,Q9H665,3868
149,Q8N9N2,1907
150,I3L0S3,3398
151,Q9Y330,5521
152,Q15036,722
153,Q6UXH1,1708
154,Q71RG6,2239
155,A6NC78,1887
156,Q8TDN4,4089
157,Q12981,2372
158,A6NDD5,4492
159,Q8TAP6,1732
160,Q9C056,1132
161,Q15750,1232
162,P05231,1499
163,Q5VWW1,1446
164,Q7Z2W4,1535
165,Q9BZD2,10312
166,Q9HC52,2117
167,Q8N7U7,992
168,Q9BQA5,1401
169,P22301,1986
170,P19397,7153
171,A0A0A0MT99,2146
172,A6NHG4,811
173,Q99583,1095
174,P18089,7474
175,P0DMV8,1781
176,A6NMY6,846
177,P0C860,1949
178,Q8IYV9,1863
179,Q9BVG3,3190
180,Q9HD34,1812
181,Q9H4M7,2278
182,A0A0A6YYL3,913
183,Q9HD20,12701
184,Q8NB42,2367
185,P20264,1826
186,Q8IWZ5,4716
187,A6NMX2,827
188,Q8TF42,1781
189,P0C874,3499
190,P36406,3584
191,Q9UKT8,5046
192,P30711,1574
193,Q07817,1255
194,Q9UKV0,1126
195,Q96JS3,3750
196,P07195,1632
197,Q6ZP82,1971
198,Q495M3,9246
199,O75473,9263
200,Q96Q05,1865
201,Q8N2H9,685
202,P13686,1891
203,Q8TAE7,8288
204,Q96MU5,6351
205,P61576,1734
206,A6NH13,956
207,P01282,1707
208,Q9NY84,3859
209,Q8IWY9,2004
210,Q6IC83,3832
211,Q9UNI6,966
212,P0DMT0,2084
213,Q96MT1,20399
214,Q8IYT1,3559
215,Q7RTP6,2497
216,O94855,936
217,Q96Q11,1061
218,Q93086,3680
219,Q9BQ66,1016
220,Q9Y697,1186
221,O14933,938
222,Q6ZN19,3024
223,O15393,2142
224,Q5T197,10321
225,Q8NE18,1766
226,Q5TAG4,3209
227,Q6NZ63,8251
228,O75467,2033
229,Q86SE9,2230
230,Q5SV17,5365
231,Q9UKW4,649
232,Q96HJ3,1039
233,Q5I7T1,12790
234,P61204,960
235,Q96A46,6241
236,Q13686,1138
237,P49588,858
238,C9JLW8,1040
239,Q5T8I9,2257
240,Q68E01,1159
241,Q9Y6B7,1406
242,Q5XPI4,1258
243,Q08E93,735
244,Q8N2G6,1353
245,P02774,1641
246,Q9H329,1917
247,Q9H4A4,1335
248,Q6AWC8,3913
249,A6NF34,3816
250,Q9UI40,11958
251,Q8WZ75,2849
252,Q9UBR1,1862
253,A0A539,1741
254,Q8TCS8,1878
255,Q9UI54,1518
256,Q9UBS5,6437
257,Q9H6X4,4887
258,P02760,966
259,Q8NGS8,7875
260,Q86TL0,1419
261,Q93079,2063
262,Q9H3F6,756
263,Q8N7X0,3546
264,Q7Z5J8,1638
265,Q86SJ6,3911
266,Q8N239,1856
267,Q9UPN6,3255
268,Q9NYB0,1398
269,Q14116,1350
270,Q0VF96,1347
271,Q15208,796
272,Q2M2I3,842
273,O15344,2198
274,Q96SQ9,2757
275,A6NFE3,2500
276,A0A0G2JLE6,1824
277,Q13651,2595
278,Q8WZA2,796
279,Q96DR8,1666
280,Q9NWM0,551
281,O95222,6827
282,Q13889,4956
283,O95544,2066
284,Q15546,6881
285,P01241,1279
286,A0A0A0MS00,1458
287,Q13137,1199
288,Q9UP95,12173
289,P13645,1802
290,P23786,1867
